entity,iso_code,date,indicator,value
United States,USA,18/07/2021,Daily hospital occupancy,22564
United States,USA,18/07/2021,Daily hospital occupancy per million,66.7
United States,USA,18/07/2021,Weekly new hospital admissions,24072
United States,USA,18/07/2021,Weekly new hospital admissions per million,71.158
United States,USA,19/07/2021,Daily ICU occupancy,6717
United States,USA,19/07/2021,Daily ICU occupancy per million,19.856
United States,USA,19/07/2021,Daily hospital occupancy,24261
United States,USA,19/07/2021,Daily hospital occupancy per million,71.717
United States,USA,19/07/2021,Weekly new hospital admissions,25216
United States,USA,19/07/2021,Weekly new hospital admissions per million,74.54
United States,USA,20/07/2021,Daily ICU occupancy,7115
United States,USA,20/07/2021,Daily ICU occupancy per million,21.032
United States,USA,20/07/2021,Daily hospital occupancy,25700
United States,USA,20/07/2021,Daily hospital occupancy per million,75.97
United States,USA,20/07/2021,Weekly new hospital admissions,26614
United States,USA,20/07/2021,Weekly new hospital admissions per million,78.672
United States,USA,21/07/2021,Daily ICU occupancy,7408
United States,USA,21/07/2021,Daily ICU occupancy per million,21.898
United States,USA,21/07/2021,Daily hospital occupancy,27055
United States,USA,21/07/2021,Daily hospital occupancy per million,79.976
United States,USA,21/07/2021,Weekly new hospital admissions,28103
United States,USA,21/07/2021,Weekly new hospital admissions per million,83.074
United States,USA,22/07/2021,Daily ICU occupancy,7687
United States,USA,22/07/2021,Daily ICU occupancy per million,22.723
United States,USA,22/07/2021,Daily hospital occupancy,28605
United States,USA,22/07/2021,Daily hospital occupancy per million,84.558
United States,USA,22/07/2021,Weekly new hospital admissions,29859
United States,USA,22/07/2021,Weekly new hospital admissions per million,88.265
United States,USA,23/07/2021,Daily ICU occupancy,8097
United States,USA,23/07/2021,Daily ICU occupancy per million,23.935
United States,USA,23/07/2021,Daily hospital occupancy,30295
United States,USA,23/07/2021,Daily hospital occupancy per million,89.553
United States,USA,23/07/2021,Weekly new hospital admissions,31504
United States,USA,23/07/2021,Weekly new hospital admissions per million,93.127
United States,USA,24/07/2021,Daily ICU occupancy,8419
United States,USA,24/07/2021,Daily ICU occupancy per million,24.887
United States,USA,24/07/2021,Daily hospital occupancy,31469
United States,USA,24/07/2021,Daily hospital occupancy per million,93.024
United States,USA,24/07/2021,Weekly new hospital admissions,33292
United States,USA,24/07/2021,Weekly new hospital admissions per million,98.413
United States,USA,25/07/2021,Daily ICU occupancy,8867
United States,USA,25/07/2021,Daily ICU occupancy per million,26.211
United States,USA,25/07/2021,Daily hospital occupancy,33406
United States,USA,25/07/2021,Daily hospital occupancy per million,98.75
United States,USA,25/07/2021,Weekly new hospital admissions,35063
United States,USA,25/07/2021,Weekly new hospital admissions per million,103.648
United States,USA,26/07/2021,Daily ICU occupancy,9448
United States,USA,26/07/2021,Daily ICU occupancy per million,27.929
United States,USA,26/07/2021,Daily hospital occupancy,35748
United States,USA,26/07/2021,Daily hospital occupancy per million,105.673
United States,USA,26/07/2021,Weekly new hospital admissions,36942
United States,USA,26/07/2021,Weekly new hospital admissions per million,109.202
United States,USA,27/07/2021,Daily ICU occupancy,9994
United States,USA,27/07/2021,Daily ICU occupancy per million,29.543
United States,USA,27/07/2021,Daily hospital occupancy,38296
United States,USA,27/07/2021,Daily hospital occupancy per million,113.205
United States,USA,27/07/2021,Weekly new hospital admissions,39034
United States,USA,27/07/2021,Weekly new hospital admissions per million,115.386
United States,USA,28/07/2021,Daily ICU occupancy,10376
United States,USA,28/07/2021,Daily ICU occupancy per million,30.672
United States,USA,28/07/2021,Daily hospital occupancy,40473
United States,USA,28/07/2021,Daily hospital occupancy per million,119.64
United States,USA,28/07/2021,Weekly new hospital admissions,41323
United States,USA,28/07/2021,Weekly new hospital admissions per million,122.153
United States,USA,29/07/2021,Daily ICU occupancy,10919
United States,USA,29/07/2021,Daily ICU occupancy per million,32.277
United States,USA,29/07/2021,Daily hospital occupancy,42200
United States,USA,29/07/2021,Daily hospital occupancy per million,124.745
United States,USA,29/07/2021,Weekly new hospital admissions,43268
United States,USA,29/07/2021,Weekly new hospital admissions per million,127.902
United States,USA,30/07/2021,Daily ICU occupancy,11463
United States,USA,30/07/2021,Daily ICU occupancy per million,33.885
United States,USA,30/07/2021,Daily hospital occupancy,44541
United States,USA,30/07/2021,Daily hospital occupancy per million,131.665
United States,USA,30/07/2021,Weekly new hospital admissions,45866
United States,USA,30/07/2021,Weekly new hospital admissions per million,135.582
United States,USA,31/07/2021,Daily ICU occupancy,12109
United States,USA,31/07/2021,Daily ICU occupancy per million,35.795
United States,USA,31/07/2021,Daily hospital occupancy,46428
United States,USA,31/07/2021,Daily hospital occupancy per million,137.243
United States,USA,31/07/2021,Weekly new hospital admissions,48326
United States,USA,31/07/2021,Weekly new hospital admissions per million,142.854
United States,USA,01/08/2021,Daily ICU occupancy,12698
United States,USA,01/08/2021,Daily ICU occupancy per million,37.536
United States,USA,01/08/2021,Daily hospital occupancy,48538
United States,USA,01/08/2021,Daily hospital occupancy per million,143.481
United States,USA,01/08/2021,Weekly new hospital admissions,50362
United States,USA,01/08/2021,Weekly new hospital admissions per million,148.872
United States,USA,02/08/2021,Daily ICU occupancy,13481
United States,USA,02/08/2021,Daily ICU occupancy per million,39.85
United States,USA,02/08/2021,Daily hospital occupancy,51780
United States,USA,02/08/2021,Daily hospital occupancy per million,153.064
United States,USA,02/08/2021,Weekly new hospital admissions,52402
United States,USA,02/08/2021,Weekly new hospital admissions per million,154.903
United States,USA,03/08/2021,Daily ICU occupancy,14052
United States,USA,03/08/2021,Daily ICU occupancy per million,41.538
United States,USA,03/08/2021,Daily hospital occupancy,54470
United States,USA,03/08/2021,Daily hospital occupancy per million,161.016
United States,USA,03/08/2021,Weekly new hospital admissions,54983
United States,USA,03/08/2021,Weekly new hospital admissions per million,162.532
United States,USA,04/08/2021,Daily ICU occupancy,14632
United States,USA,04/08/2021,Daily ICU occupancy per million,43.253
United States,USA,04/08/2021,Daily hospital occupancy,56945
United States,USA,04/08/2021,Daily hospital occupancy per million,168.332
United States,USA,04/08/2021,Weekly new hospital admissions,57410
United States,USA,04/08/2021,Weekly new hospital admissions per million,169.707
United States,USA,05/08/2021,Daily ICU occupancy,15193
United States,USA,05/08/2021,Daily ICU occupancy per million,44.911
United States,USA,05/08/2021,Daily hospital occupancy,59587
United States,USA,05/08/2021,Daily hospital occupancy per million,176.142
United States,USA,05/08/2021,Weekly new hospital admissions,60023
United States,USA,05/08/2021,Weekly new hospital admissions per million,177.431
United States,USA,06/08/2021,Daily ICU occupancy,15732
United States,USA,06/08/2021,Daily ICU occupancy per million,46.504
United States,USA,06/08/2021,Daily hospital occupancy,62122
United States,USA,06/08/2021,Daily hospital occupancy per million,183.635
United States,USA,06/08/2021,Weekly new hospital admissions,62255
United States,USA,06/08/2021,Weekly new hospital admissions per million,184.029
United States,USA,07/08/2021,Daily ICU occupancy,16164
United States,USA,07/08/2021,Daily ICU occupancy per million,47.782
United States,USA,07/08/2021,Daily hospital occupancy,63544
United States,USA,07/08/2021,Daily hospital occupancy per million,187.839
United States,USA,07/08/2021,Weekly new hospital admissions,64402
United States,USA,07/08/2021,Weekly new hospital admissions per million,190.375
United States,USA,08/08/2021,Daily ICU occupancy,16784
United States,USA,08/08/2021,Daily ICU occupancy per million,49.614
United States,USA,08/08/2021,Daily hospital occupancy,66369
United States,USA,08/08/2021,Daily hospital occupancy per million,196.19
United States,USA,08/08/2021,Weekly new hospital admissions,66805
United States,USA,08/08/2021,Weekly new hospital admissions per million,197.479
United States,USA,09/08/2021,Daily ICU occupancy,17707
United States,USA,09/08/2021,Daily ICU occupancy per million,52.343
United States,USA,09/08/2021,Daily hospital occupancy,69838
United States,USA,09/08/2021,Daily hospital occupancy per million,206.444
United States,USA,09/08/2021,Weekly new hospital admissions,69040
United States,USA,09/08/2021,Weekly new hospital admissions per million,204.085
United States,USA,10/08/2021,Daily ICU occupancy,18264
United States,USA,10/08/2021,Daily ICU occupancy per million,53.989
United States,USA,10/08/2021,Daily hospital occupancy,72521
United States,USA,10/08/2021,Daily hospital occupancy per million,214.375
United States,USA,10/08/2021,Weekly new hospital admissions,71163
United States,USA,10/08/2021,Weekly new hospital admissions per million,210.361
United States,USA,11/08/2021,Daily ICU occupancy,19013
United States,USA,11/08/2021,Daily ICU occupancy per million,56.203
United States,USA,11/08/2021,Daily hospital occupancy,74823
United States,USA,11/08/2021,Daily hospital occupancy per million,221.18
United States,USA,11/08/2021,Weekly new hospital admissions,73369
United States,USA,11/08/2021,Weekly new hospital admissions per million,216.882
United States,USA,12/08/2021,Daily ICU occupancy,19537
United States,USA,12/08/2021,Daily ICU occupancy per million,57.752
United States,USA,12/08/2021,Daily hospital occupancy,76968
United States,USA,12/08/2021,Daily hospital occupancy per million,227.521
United States,USA,12/08/2021,Weekly new hospital admissions,75529
United States,USA,12/08/2021,Weekly new hospital admissions per million,223.267
United States,USA,13/08/2021,Daily ICU occupancy,20076
United States,USA,13/08/2021,Daily ICU occupancy per million,59.346
United States,USA,13/08/2021,Daily hospital occupancy,78580
United States,USA,13/08/2021,Daily hospital occupancy per million,232.286
United States,USA,13/08/2021,Weekly new hospital admissions,77285
United States,USA,13/08/2021,Weekly new hospital admissions per million,228.458
United States,USA,14/08/2021,Daily ICU occupancy,20401
United States,USA,14/08/2021,Daily ICU occupancy per million,60.306
United States,USA,14/08/2021,Daily hospital occupancy,79622
United States,USA,14/08/2021,Daily hospital occupancy per million,235.366
United States,USA,14/08/2021,Weekly new hospital admissions,78839
United States,USA,14/08/2021,Weekly new hospital admissions per million,233.052
United States,USA,15/08/2021,Daily ICU occupancy,21077
United States,USA,15/08/2021,Daily ICU occupancy per million,62.305
United States,USA,15/08/2021,Daily hospital occupancy,81624
United States,USA,15/08/2021,Daily hospital occupancy per million,241.284
United States,USA,15/08/2021,Weekly new hospital admissions,79722
United States,USA,15/08/2021,Weekly new hospital admissions per million,235.662
United States,USA,16/08/2021,Daily ICU occupancy,21673
United States,USA,16/08/2021,Daily ICU occupancy per million,64.066
United States,USA,16/08/2021,Daily hospital occupancy,84313
United States,USA,16/08/2021,Daily hospital occupancy per million,249.233
United States,USA,16/08/2021,Weekly new hospital admissions,80748
United States,USA,16/08/2021,Weekly new hospital admissions per million,238.695
United States,USA,17/08/2021,Daily ICU occupancy,22303
United States,USA,17/08/2021,Daily ICU occupancy per million,65.929
United States,USA,17/08/2021,Daily hospital occupancy,86744
United States,USA,17/08/2021,Daily hospital occupancy per million,256.419
United States,USA,17/08/2021,Weekly new hospital admissions,82017
United States,USA,17/08/2021,Weekly new hospital admissions per million,242.446
United States,USA,18/08/2021,Daily ICU occupancy,22693
United States,USA,18/08/2021,Daily ICU occupancy per million,67.082
United States,USA,18/08/2021,Daily hospital occupancy,88626
United States,USA,18/08/2021,Daily hospital occupancy per million,261.982
United States,USA,18/08/2021,Weekly new hospital admissions,83154
United States,USA,18/08/2021,Weekly new hospital admissions per million,245.807
United States,USA,19/08/2021,Daily ICU occupancy,23034
United States,USA,19/08/2021,Daily ICU occupancy per million,68.09
United States,USA,19/08/2021,Daily hospital occupancy,89428
United States,USA,19/08/2021,Daily hospital occupancy per million,264.353
United States,USA,19/08/2021,Weekly new hospital admissions,83961
United States,USA,19/08/2021,Weekly new hospital admissions per million,248.192
United States,USA,20/08/2021,Daily ICU occupancy,23399
United States,USA,20/08/2021,Daily ICU occupancy per million,69.168
